Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Cumulative Profit
1,NIFTY02JAN2012200PE,65,BUY,34.6,01 Jan 2020 10:45:14,SELL,36.3,01 Jan 2020 10:47:44,110.5,-32.5
1,NIFTY02JAN2012250PE,65,SELL,68,01 Jan 2020 10:45:14,BUY,70.2,01 Jan 2020 10:48:00,-143,-32.5
2,NIFTY02JAN2012250PE,65,BUY,27.2,02 Jan 2020 10:45:14,SELL,28.55,02 Jan 2020 10:46:44,87.75,-91
2,NIFTY02JAN2012300PE,65,SELL,69.1,02 Jan 2020 10:45:14,BUY,71.35,02 Jan 2020 10:47:00,-146.25,-91
3,NIFTY09JAN2012200PE,65,BUY,52.25,03 Jan 2020 10:45:14,SELL,54.85,03 Jan 2020 11:10:44,169,-159.25
3,NIFTY09JAN2012250PE,65,SELL,76.5,03 Jan 2020 10:45:14,BUY,80.15,03 Jan 2020 11:11:00,-237.25,-159.25
4,NIFTY09JAN2012050PE,65,BUY,59.05,06 Jan 2020 10:45:14,SELL,62,06 Jan 2020 10:46:44,191.75,-208
4,NIFTY09JAN2012100PE,65,SELL,79.65,06 Jan 2020 10:45:14,BUY,83.35,06 Jan 2020 10:47:00,-240.5,-208
5,NIFTY09JAN2012100PE,65,BUY,40.55,07 Jan 2020 10:45:14,SELL,42.55,07 Jan 2020 10:53:44,130,-386.75
5,NIFTY09JAN2012150PE,65,SELL,66.1,07 Jan 2020 10:45:14,BUY,70.85,07 Jan 2020 10:54:00,-308.75,-386.75
6,NIFTY09JAN2012000PE,65,BUY,65.8,08 Jan 2020 10:45:14,SELL,69.05,08 Jan 2020 10:56:44,211.25,-347.75
6,NIFTY09JAN2012050PE,65,SELL,94.55,08 Jan 2020 10:45:14,BUY,97.2,08 Jan 2020 10:57:00,-172.25,-347.75
7,NIFTY09JAN2012200PE,65,BUY,29.95,09 Jan 2020 10:45:14,SELL,31.4,09 Jan 2020 10:53:44,94.25,-455
7,NIFTY09JAN2012250PE,65,SELL,69.45,09 Jan 2020 10:45:14,BUY,72.55,09 Jan 2020 10:54:00,-201.5,-455
8,NIFTY16JAN2012250PE,65,BUY,60.3,10 Jan 2020 10:45:14,SELL,55.25,10 Jan 2020 11:13:29,-328.25,-312
8,NIFTY16JAN2012300PE,65,SELL,83.4,10 Jan 2020 10:45:14,BUY,76.15,10 Jan 2020 11:13:29,471.25,-312
9,NIFTY16JAN2012300PE,65,BUY,57.9,13 Jan 2020 10:45:14,SELL,60.75,13 Jan 2020 10:47:44,185.25,-403
9,NIFTY16JAN2012350PE,65,SELL,81.35,13 Jan 2020 10:45:14,BUY,85.6,13 Jan 2020 10:48:00,-276.25,-403
10,NIFTY16JAN2012300PE,65,BUY,43.4,14 Jan 2020 10:45:14,SELL,45.55,14 Jan 2020 10:46:44,139.75,-487.5
10,NIFTY16JAN2012350PE,65,SELL,69.5,14 Jan 2020 10:45:14,BUY,72.95,14 Jan 2020 10:47:00,-224.25,-487.5
11,NIFTY16JAN2012300PE,65,BUY,40.6,15 Jan 2020 10:45:14,SELL,42.6,15 Jan 2020 13:42:44,130,-705.25
11,NIFTY16JAN2012350PE,65,SELL,71.4,15 Jan 2020 10:45:14,BUY,76.75,15 Jan 2020 13:43:00,-347.75,-705.25
12,NIFTY16JAN2012350PE,65,BUY,14.45,16 Jan 2020 10:45:14,SELL,15.15,16 Jan 2020 10:53:44,45.5,-861.25
12,NIFTY16JAN2012400PE,65,SELL,45.5,16 Jan 2020 10:45:14,BUY,48.6,16 Jan 2020 10:54:00,-201.5,-861.25
13,NIFTY23JAN2012350PE,65,BUY,52.5,17 Jan 2020 10:45:14,SELL,55.1,17 Jan 2020 10:50:44,169,-893.75
13,NIFTY23JAN2012400PE,65,SELL,76.1,17 Jan 2020 10:45:14,BUY,79.2,17 Jan 2020 10:51:00,-201.5,-893.75
14,NIFTY23JAN2012250PE,65,BUY,42.7,20 Jan 2020 10:45:14,SELL,35.6,20 Jan 2020 10:52:29,-461.5,-731.25
14,NIFTY23JAN2012300PE,65,SELL,67.65,20 Jan 2020 10:45:14,BUY,58.05,20 Jan 2020 10:52:29,624,-731.25
15,NIFTY23JAN2012150PE,65,BUY,36.8,21 Jan 2020 10:45:14,SELL,38.6,21 Jan 2020 10:51:44,117,-767
15,NIFTY23JAN2012200PE,65,SELL,60.1,21 Jan 2020 10:45:14,BUY,62.45,21 Jan 2020 10:52:00,-152.75,-767
16,NIFTY23JAN2012100PE,65,BUY,20.55,22 Jan 2020 10:45:14,SELL,16.25,22 Jan 2020 10:53:29,-279.5,-604.5
16,NIFTY23JAN2012150PE,65,SELL,41.25,22 Jan 2020 10:45:14,BUY,34.45,22 Jan 2020 10:53:29,442,-604.5
17,NIFTY23JAN2012100PE,65,BUY,6.35,23 Jan 2020 10:45:14,SELL,6.65,23 Jan 2020 10:45:44,19.5,-799.5
17,NIFTY23JAN2012150PE,65,SELL,22.85,23 Jan 2020 10:45:14,BUY,26.15,23 Jan 2020 10:46:00,-214.5,-799.5
18,NIFTY30JAN2012200PE,65,BUY,44.65,24 Jan 2020 10:45:14,SELL,46.85,24 Jan 2020 10:51:44,143,-923
18,NIFTY30JAN2012250PE,65,SELL,64.2,24 Jan 2020 10:45:14,BUY,68.3,24 Jan 2020 10:52:00,-266.5,-923
19,NIFTY30JAN2012150PE,65,BUY,46.8,27 Jan 2020 10:45:14,SELL,49.1,27 Jan 2020 11:13:44,149.5,-1053
19,NIFTY30JAN2012200PE,65,SELL,67.7,27 Jan 2020 10:45:14,BUY,72,27 Jan 2020 11:14:00,-279.5,-1053
20,NIFTY30JAN2012050PE,65,BUY,30.2,28 Jan 2020 10:45:14,SELL,24.05,28 Jan 2020 10:57:29,-399.75,-906.75
20,NIFTY30JAN2012100PE,65,SELL,48.2,28 Jan 2020 10:45:14,BUY,39.8,28 Jan 2020 10:57:29,546,-906.75
21,NIFTY30JAN2012100PE,65,BUY,21.05,29 Jan 2020 10:45:14,SELL,22.1,29 Jan 2020 11:17:44,68.25,-962
21,NIFTY30JAN2012150PE,65,SELL,38.25,29 Jan 2020 10:45:14,BUY,40.15,29 Jan 2020 11:18:00,-123.5,-962
22,NIFTY30JAN2012000PE,65,BUY,6.9,30 Jan 2020 10:45:14,SELL,5.5,30 Jan 2020 10:48:29,-91,-812.5
22,NIFTY30JAN2012050PE,65,SELL,25.3,30 Jan 2020 10:45:14,BUY,21.6,30 Jan 2020 10:48:29,240.5,-812.5
23,NIFTY06FEB2012000PE,65,BUY,135,31 Jan 2020 10:45:14,SELL,141.75,31 Jan 2020 10:51:44,438.75,-705.25
23,NIFTY06FEB2012050PE,65,SELL,159.7,31 Jan 2020 10:45:14,BUY,164.8,31 Jan 2020 10:52:00,-331.5,-705.25
24,NIFTY06FEB2011650PE,65,BUY,60.6,03 Feb 2020 10:45:14,SELL,50.2,03 Feb 2020 10:48:29,-676,-565.5
24,NIFTY06FEB2011700PE,65,SELL,82.25,03 Feb 2020 10:45:14,BUY,69.7,03 Feb 2020 10:48:29,815.75,-565.5
25,NIFTY06FEB2011800PE,65,BUY,37.1,04 Feb 2020 10:45:14,SELL,38.95,04 Feb 2020 10:48:44,120.25,-627.25
25,NIFTY06FEB2011850PE,65,SELL,57.55,04 Feb 2020 10:45:14,BUY,60.35,04 Feb 2020 10:49:00,-182,-627.25
26,NIFTY06FEB2011950PE,65,BUY,17.45,05 Feb 2020 10:45:14,SELL,18.3,05 Feb 2020 10:45:44,55.25,-676
26,NIFTY06FEB2012000PE,65,SELL,36.6,05 Feb 2020 10:45:14,BUY,38.2,05 Feb 2020 10:46:00,-104,-676
27,NIFTY06FEB2012050PE,65,BUY,6.75,06 Feb 2020 10:45:14,SELL,7.05,06 Feb 2020 10:45:44,19.5,-767
27,NIFTY06FEB2012100PE,65,SELL,21.15,06 Feb 2020 10:45:14,BUY,22.85,06 Feb 2020 10:46:00,-110.5,-767
28,NIFTY13FEB2012050PE,65,BUY,61.35,07 Feb 2020 10:45:14,SELL,64.4,07 Feb 2020 11:28:44,198.25,-715
28,NIFTY13FEB2012100PE,65,SELL,85.35,07 Feb 2020 10:45:14,BUY,87.6,07 Feb 2020 11:29:00,-146.25,-715
29,NIFTY13FEB2011950PE,65,BUY,48.05,10 Feb 2020 10:45:14,SELL,41.35,10 Feb 2020 11:06:29,-435.5,-572
