Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2025-01-01,,09:35:00,23617.0,,,,,2025-01-01,,09:36:00,23615.35,260.0,,,260.0,0,Exit Condition Met For Trade
1.1,2025-01-01,Wednesday,09:35:00,81.35,65,CE,23700.0,Buy,2025-01-01,Wednesday,09:36:00,83.0,107.25000000000037,2.0282728948985933,2025-01-02,,,Target Hit
1.2,2025-01-01,Wednesday,09:35:00,65.85,65,PE,23500.0,Buy,2025-01-01,Wednesday,09:36:00,68.2,152.75000000000057,3.5687167805618962,2025-01-02,,,Exit Condition Met For Trade
2,2025-01-02,,09:35:00,23784.25,,,,,2025-01-02,,09:36:00,23785.9,94.25,,,94.25,0,Exit Condition Met For Trade
2.1,2025-01-02,Thursday,09:35:00,60.05,65,CE,23900.0,Buy,2025-01-02,Thursday,09:36:00,61.25,78.00000000000018,1.9983347210657834,2025-01-02,,,Target Hit
2.2,2025-01-02,Thursday,09:35:00,72.05,65,PE,23700.0,Buy,2025-01-02,Thursday,09:36:00,72.3,16.25,0.3469812630117974,2025-01-02,,,Exit Condition Met For Trade
3,2025-01-03,,09:35:00,24105.2,,,,,2025-01-03,,09:36:00,24094.3,188.5,,,188.5,0,Exit Condition Met For Trade
3.1,2025-01-03,Friday,09:35:00,137.5,65,CE,24200.0,Buy,2025-01-03,Friday,09:36:00,133.4,-266.49999999999966,-2.9818181818181775,2025-01-09,,,Exit Condition Met For Trade
3.2,2025-01-03,Friday,09:35:00,139.85,65,PE,24000.0,Buy,2025-01-03,Friday,09:36:00,146.85,455.0,5.005362888809439,2025-01-09,,,Target Hit
4,2025-01-06,,09:35:00,24026.25,,,,,2025-01-06,,09:36:00,24008.55,165.75,,,165.75,0,Exit Condition Met For Trade
4.1,2025-01-06,Monday,09:35:00,82.7,65,CE,24150.0,Buy,2025-01-06,Monday,09:36:00,77.85,-315.25000000000057,-5.864570737605814,2025-01-09,,,Exit Condition Met For Trade
4.2,2025-01-06,Monday,09:35:00,147.6,65,PE,23950.0,Buy,2025-01-06,Monday,09:36:00,155.0,481.00000000000034,5.013550135501359,2025-01-09,,,Target Hit
5,2025-01-07,,09:35:00,23775.95,,,,,2025-01-07,,09:36:00,23778.0,107.25,,,107.25,0,Exit Condition Met For Trade
5.1,2025-01-07,Tuesday,09:35:00,98.75,65,CE,23900.0,Buy,2025-01-07,Tuesday,09:36:00,100.75,130.0,2.0253164556962027,2025-01-09,,,Target Hit
5.2,2025-01-07,Tuesday,09:35:00,121.15,65,PE,23700.0,Buy,2025-01-07,Tuesday,09:36:00,120.8,-22.750000000000554,-0.28889806025588816,2025-01-09,,,Exit Condition Met For Trade
6,2025-01-08,,09:35:00,23629.05,,,,,2025-01-08,,09:36:00,23652.1,-325.0,,,0,-325.0,Exit Condition Met For Trade
6.1,2025-01-08,Wednesday,09:35:00,44.1,65,CE,23750.0,Buy,2025-01-08,Wednesday,09:36:00,45.0,58.49999999999991,2.0408163265306087,2025-01-09,,,Target Hit
6.2,2025-01-08,Wednesday,09:35:00,63.75,65,PE,23550.0,Buy,2025-01-08,Wednesday,09:36:00,57.85,-383.4999999999999,-9.254901960784313,2025-01-09,,,Exit Condition Met For Trade
7,2025-01-09,,09:35:00,23608.55,,,,,2025-01-09,,09:36:00,23608.65,84.5,,,84.5,0,Exit Condition Met For Trade
7.1,2025-01-09,Thursday,09:35:00,18.7,65,CE,23700.0,Buy,2025-01-09,Thursday,09:36:00,19.1,26.00000000000014,2.139037433155092,2025-01-09,,,Target Hit
7.2,2025-01-09,Thursday,09:35:00,17.65,65,PE,23500.0,Buy,2025-01-09,Thursday,09:36:00,18.55,58.50000000000014,5.099150141643072,2025-01-09,,,Target Hit
8,2025-01-10,,09:35:00,23458.6,,,,,2025-01-10,,09:36:00,23448.1,627.25,,,627.25,0,Exit Condition Met For Trade
8.1,2025-01-10,Friday,09:35:00,157.6,65,CE,23550.0,Buy,2025-01-10,Friday,09:36:00,160.75,204.75000000000037,1.9987309644670088,2025-01-16,,,Target Hit
8.2,2025-01-10,Friday,09:35:00,129.85,65,PE,23350.0,Buy,2025-01-10,Friday,09:36:00,136.35,422.5,5.005775895263766,2025-01-16,,,Target Hit
9,2025-01-13,,09:35:00,23243.65,,,,,2025-01-13,,09:36:00,23238.0,-22.75,,,0,-22.75,Exit Condition Met For Trade
9.1,2025-01-13,Monday,09:35:00,115.8,65,CE,23350.0,Buy,2025-01-13,Monday,09:36:00,115.2,-38.99999999999963,-0.5181347150259018,2025-01-16,,,Exit Condition Met For Trade
9.2,2025-01-13,Monday,09:35:00,122.05,65,PE,23150.0,Buy,2025-01-13,Monday,09:36:00,122.3,16.25,0.20483408439164277,2025-01-16,,,Exit Condition Met For Trade
10,2025-01-14,,09:35:00,23169.15,,,,,2025-01-14,,09:36:00,23176.05,-13.0,,,0,-13.0,Exit Condition Met For Trade
10.1,2025-01-14,Tuesday,09:35:00,86.05,65,CE,23250.0,Buy,2025-01-14,Tuesday,09:36:00,87.75,110.50000000000018,1.9755955839628156,2025-01-16,,,Target Hit
10.2,2025-01-14,Tuesday,09:35:00,66.05,65,PE,23050.0,Buy,2025-01-14,Tuesday,09:36:00,64.15,-123.49999999999945,-2.876608629825877,2025-01-16,,,Exit Condition Met For Trade
11,2025-01-15,,09:35:00,23180.95,,,,,2025-01-15,,09:36:00,23189.0,-152.75,,,0,-152.75,Exit Condition Met For Trade
11.1,2025-01-15,Wednesday,09:35:00,38.9,65,CE,23300.0,Buy,2025-01-15,Wednesday,09:36:00,39.7,52.00000000000028,2.05655526992289,2025-01-16,,,Target Hit
11.2,2025-01-15,Wednesday,09:35:00,48.8,65,PE,23100.0,Buy,2025-01-15,Wednesday,09:36:00,45.65,-204.74999999999991,-6.454918032786884,2025-01-16,,,Exit Condition Met For Trade
12,2025-01-16,,09:35:00,23348.25,,,,,2025-01-16,,09:36:00,23346.4,-42.25,,,0,-42.25,Exit Condition Met For Trade
12.1,2025-01-16,Thursday,09:35:00,12.45,65,CE,23450.0,Buy,2025-01-16,Thursday,09:36:00,11.45,-65.0,-8.032128514056225,2025-01-16,,,Exit Condition Met For Trade
