"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2025-03-24"," 9:16:00 AM","2025-03-24"," 9:17:00 AM","","","","","","","13.16","-61.75"
"1.1","2025-03-24"," 9:16:00 AM","2025-03-24"," 9:17:00 AM","CE","23400","Sell","65","175.20","193.55","","-1192.75"
"1.2","2025-03-24"," 9:16:00 AM","2025-03-24"," 9:17:00 AM","CE","23300","Buy","65","244.30","264.30","","1300.00"
"1.3","2025-03-24"," 9:16:00 AM","2025-03-24"," 9:17:00 AM","PE","23600","Sell","65","184.50","168.85","","1017.25"
"1.4","2025-03-24"," 9:16:00 AM","2025-03-24"," 9:17:00 AM","PE","23700","Buy","65","255.10","236.85","","-1186.25"
"2","2025-03-25"," 9:16:00 AM","2025-03-25"," 9:17:00 AM","","","","","","","13.91","-35.75"
"2.1","2025-03-25"," 9:16:00 AM","2025-03-25"," 9:17:00 AM","CE","23650","Sell","65","211.25","196.45","","962.00"
"2.2","2025-03-25"," 9:16:00 AM","2025-03-25"," 9:17:00 AM","CE","23550","Buy","65","282.20","265.20","","-1105.00"
"2.3","2025-03-25"," 9:16:00 AM","2025-03-25"," 9:17:00 AM","PE","23850","Sell","65","176.60","194.95","","-1192.75"
"2.4","2025-03-25"," 9:16:00 AM","2025-03-25"," 9:17:00 AM","PE","23950","Buy","65","243.25","263.25","","1300.00"
"3","2025-03-26"," 9:16:00 AM","2025-03-26"," 9:17:00 AM","","","","","","","13.76","598.00"
"3.1","2025-03-26"," 9:16:00 AM","2025-03-26"," 9:17:00 AM","CE","23600","Sell","65","159.60","163.90","","-279.50"
"3.2","2025-03-26"," 9:16:00 AM","2025-03-26"," 9:17:00 AM","CE","23500","Buy","65","233.25","240.15","","448.50"
"3.3","2025-03-26"," 9:16:00 AM","2025-03-26"," 9:17:00 AM","PE","23800","Sell","65","166.50","146.50","","1300.00"
"3.4","2025-03-26"," 9:16:00 AM","2025-03-26"," 9:17:00 AM","PE","23900","Buy","65","240.35","226.95","","-871.00"
"4","2025-03-27"," 9:16:00 AM","2025-03-27"," 9:19:00 AM","","","","","","","13.61","-208.00"
"4.1","2025-03-27"," 9:16:00 AM","2025-03-27"," 9:19:00 AM","CE","23350","Sell","65","144.70","156.20","","-747.50"
"4.2","2025-03-27"," 9:16:00 AM","2025-03-27"," 9:19:00 AM","CE","23250","Buy","65","229.35","242.30","","841.75"
"4.3","2025-03-27"," 9:16:00 AM","2025-03-27"," 9:19:00 AM","PE","23550","Sell","65","120.60","105.25","","997.75"
"4.4","2025-03-27"," 9:16:00 AM","2025-03-27"," 9:19:00 AM","PE","23650","Buy","65","203.45","183.45","","-1300.00"
"5","2025-03-28"," 9:16:00 AM","2025-03-28"," 9:19:00 AM","","","","","","","13.25","-711.75"
"5.1","2025-03-28"," 9:16:00 AM","2025-03-28"," 9:19:00 AM","CE","23500","Sell","65","257.25","249.10","","529.75"
"5.2","2025-03-28"," 9:16:00 AM","2025-03-28"," 9:19:00 AM","CE","23400","Buy","65","330.00","310.00","","-1300.00"
"5.3","2025-03-28"," 9:16:00 AM","2025-03-28"," 9:19:00 AM","PE","23700","Sell","65","180.10","181.60","","-97.50"
"5.4","2025-03-28"," 9:16:00 AM","2025-03-28"," 9:19:00 AM","PE","23800","Buy","65","238.50","240.90","","156.00"
"6","2025-04-01"," 9:16:00 AM","2025-04-01"," 9:21:00 AM","","","","","","","13.55","-815.75"
"6.1","2025-04-01"," 9:16:00 AM","2025-04-01"," 9:21:00 AM","CE","23300","Sell","65","202.10","195.25","","445.25"
"6.2","2025-04-01"," 9:16:00 AM","2025-04-01"," 9:21:00 AM","CE","23200","Buy","65","283.95","263.95","","-1300.00"
"6.3","2025-04-01"," 9:16:00 AM","2025-04-01"," 9:21:00 AM","PE","23500","Sell","65","139.85","141.05","","-78.00"
"6.4","2025-04-01"," 9:16:00 AM","2025-04-01"," 9:21:00 AM","PE","23600","Buy","65","205.30","207.10","","117.00"
"7","2025-04-02"," 9:16:00 AM","2025-04-02"," 9:19:00 AM","","","","","","","13.87","812.50"
"7.1","2025-04-02"," 9:16:00 AM","2025-04-02"," 9:19:00 AM","CE","23100","Sell","65","173.55","178.55","","-325.00"
