"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2025-01-01"," 9:35:00 AM","2025-01-01"," 9:36:00 AM","","","","","","","14.62","260.00"
"1.1","2025-01-01"," 9:35:00 AM","2025-01-01"," 9:36:00 AM","CE","23700","Buy","65","81.35","83.00","","107.25"
"1.2","2025-01-01"," 9:35:00 AM","2025-01-01"," 9:36:00 AM","PE","23500","Buy","65","65.85","68.20","","152.75"
"2","2025-01-02"," 9:35:00 AM","2025-01-02"," 9:36:00 AM","","","","","","","14.63","94.25"
"2.1","2025-01-02"," 9:35:00 AM","2025-01-02"," 9:36:00 AM","CE","23900","Buy","65","60.05","61.25","","78.00"
"2.2","2025-01-02"," 9:35:00 AM","2025-01-02"," 9:36:00 AM","PE","23700","Buy","65","72.05","72.30","","16.25"
"3","2025-01-03"," 9:35:00 AM","2025-01-03"," 9:36:00 AM","","","","","","","13.78","188.50"
"3.1","2025-01-03"," 9:35:00 AM","2025-01-03"," 9:36:00 AM","CE","24200","Buy","65","137.50","133.40","","-266.50"
"3.2","2025-01-03"," 9:35:00 AM","2025-01-03"," 9:36:00 AM","PE","24000","Buy","65","139.85","146.85","","455.00"
"4","2025-01-06"," 9:35:00 AM","2025-01-06"," 9:36:00 AM","","","","","","","14.31","165.75"
"4.1","2025-01-06"," 9:35:00 AM","2025-01-06"," 9:36:00 AM","CE","24150","Buy","65","82.70","77.85","","-315.25"
"4.2","2025-01-06"," 9:35:00 AM","2025-01-06"," 9:36:00 AM","PE","23950","Buy","65","147.60","155.00","","481.00"
"5","2025-01-07"," 9:35:00 AM","2025-01-07"," 9:36:00 AM","","","","","","","14.92","107.25"
"5.1","2025-01-07"," 9:35:00 AM","2025-01-07"," 9:36:00 AM","CE","23900","Buy","65","98.75","100.75","","130.00"
"5.2","2025-01-07"," 9:35:00 AM","2025-01-07"," 9:36:00 AM","PE","23700","Buy","65","121.15","120.80","","-22.75"
"6","2025-01-08"," 9:35:00 AM","2025-01-08"," 9:36:00 AM","","","","","","","14.71","-325.00"
"6.1","2025-01-08"," 9:35:00 AM","2025-01-08"," 9:36:00 AM","CE","23750","Buy","65","44.10","45.00","","58.50"
"6.2","2025-01-08"," 9:35:00 AM","2025-01-08"," 9:36:00 AM","PE","23550","Buy","65","63.75","57.85","","-383.50"
"7","2025-01-09"," 9:35:00 AM","2025-01-09"," 9:36:00 AM","","","","","","","14.55","84.50"
"7.1","2025-01-09"," 9:35:00 AM","2025-01-09"," 9:36:00 AM","CE","23700","Buy","65","18.70","19.10","","26.00"
"7.2","2025-01-09"," 9:35:00 AM","2025-01-09"," 9:36:00 AM","PE","23500","Buy","65","17.65","18.55","","58.50"
"8","2025-01-10"," 9:35:00 AM","2025-01-10"," 9:36:00 AM","","","","","","","15.13","627.25"
"8.1","2025-01-10"," 9:35:00 AM","2025-01-10"," 9:36:00 AM","CE","23550","Buy","65","157.60","160.75","","204.75"
"8.2","2025-01-10"," 9:35:00 AM","2025-01-10"," 9:36:00 AM","PE","23350","Buy","65","129.85","136.35","","422.50"
"9","2025-01-13"," 9:35:00 AM","2025-01-13"," 9:36:00 AM","","","","","","","16.00","-22.75"
"9.1","2025-01-13"," 9:35:00 AM","2025-01-13"," 9:36:00 AM","CE","23350","Buy","65","115.80","115.20","","-39.00"
"9.2","2025-01-13"," 9:35:00 AM","2025-01-13"," 9:36:00 AM","PE","23150","Buy","65","122.05","122.30","","16.25"
"10","2025-01-14"," 9:35:00 AM","2025-01-14"," 9:36:00 AM","","","","","","","15.84","-13.00"
"10.1","2025-01-14"," 9:35:00 AM","2025-01-14"," 9:36:00 AM","CE","23250","Buy","65","86.05","87.75","","110.50"
"10.2","2025-01-14"," 9:35:00 AM","2025-01-14"," 9:36:00 AM","PE","23050","Buy","65","66.05","64.15","","-123.50"
"11","2025-01-15"," 9:35:00 AM","2025-01-15"," 9:36:00 AM","","","","","","","15.58","-152.75"
"11.1","2025-01-15"," 9:35:00 AM","2025-01-15"," 9:36:00 AM","CE","23300","Buy","65","38.90","39.70","","52.00"
"11.2","2025-01-15"," 9:35:00 AM","2025-01-15"," 9:36:00 AM","PE","23100","Buy","65","48.80","45.65","","-204.75"
"12","2025-01-16"," 9:35:00 AM","2025-01-16"," 9:36:00 AM","","","","","","","15.10","-42.25"
"12.1","2025-01-16"," 9:35:00 AM","2025-01-16"," 9:36:00 AM","CE","23450","Buy","65","12.45","11.45","","-65.00"
"12.2","2025-01-16"," 9:35:00 AM","2025-01-16"," 9:36:00 AM","PE","23250","Buy","65","10.55","10.90","","22.75"
"13","2025-01-17"," 9:35:00 AM","2025-01-17"," 9:36:00 AM","","","","","","","15.53","201.50"
"13.1","2025-01-17"," 9:35:00 AM","2025-01-17"," 9:36:00 AM","CE","23350","Buy","65","122.75","125.20","","159.25"
"13.2","2025-01-17"," 9:35:00 AM","2025-01-17"," 9:36:00 AM","PE","23150","Buy","65","124.45","125.10","","42.25"
"14","2025-01-20"," 9:35:00 AM","2025-01-20"," 9:36:00 AM","","","","","","","16.94","-68.25"
"14.1","2025-01-20"," 9:35:00 AM","2025-01-20"," 9:36:00 AM","CE","23300","Buy","65","127.40","129.95","","165.75"
"14.2","2025-01-20"," 9:35:00 AM","2025-01-20"," 9:36:00 AM","PE","23100","Buy","65","135.00","131.40","","-234.00"
"15","2025-01-21"," 9:35:00 AM","2025-01-21"," 9:36:00 AM","","","","","","","16.74","42.25"
"15.1","2025-01-21"," 9:35:00 AM","2025-01-21"," 9:36:00 AM","CE","23450","Buy","65","98.85","100.85","","130.00"
"15.2","2025-01-21"," 9:35:00 AM","2025-01-21"," 9:36:00 AM","PE","23250","Buy","65","98.20","96.85","","-87.75"
"16","2025-01-22"," 9:35:00 AM","2025-01-22"," 9:36:00 AM","","","","","","","17.23","279.50"
"16.1","2025-01-22"," 9:35:00 AM","2025-01-22"," 9:36:00 AM","CE","23200","Buy","65","76.90","78.45","","100.75"
"16.2","2025-01-22"," 9:35:00 AM","2025-01-22"," 9:36:00 AM","PE","23000","Buy","65","55.10","57.85","","178.75"
"17","2025-01-23"," 9:35:00 AM","2025-01-23"," 9:36:00 AM","","","","","","","16.98","78.00"
"17.1","2025-01-23"," 9:35:00 AM","2025-01-23"," 9:36:00 AM","CE","23200","Buy","65","23.05","23.50","","29.25"
"17.2","2025-01-23"," 9:35:00 AM","2025-01-23"," 9:36:00 AM","PE","23000","Buy","65","14.60","15.35","","48.75"
"18","2025-01-24"," 9:35:00 AM","2025-01-24"," 9:36:00 AM","","","","","","","17.02","-149.50"
"18.1","2025-01-24"," 9:35:00 AM","2025-01-24"," 9:36:00 AM","CE","23350","Buy","65","142.95","144.85","","123.50"
"18.2","2025-01-24"," 9:35:00 AM","2025-01-24"," 9:36:00 AM","PE","23150","Buy","65","151.15","146.95","","-273.00"
"19","2025-01-27"," 9:35:00 AM","2025-01-27"," 9:36:00 AM","","","","","","","17.86","-48.75"
"19.1","2025-01-27"," 9:35:00 AM","2025-01-27"," 9:36:00 AM","CE","23100","Buy","65","130.45","133.05","","169.00"
"19.2","2025-01-27"," 9:35:00 AM","2025-01-27"," 9:36:00 AM","PE","22900","Buy","65","134.00","130.65","","-217.75"
"20","2025-01-28"," 9:35:00 AM","2025-01-28"," 9:36:00 AM","","","","","","","18.38","516.75"
"20.1","2025-01-28"," 9:35:00 AM","2025-01-28"," 9:36:00 AM","CE","23000","Buy","65","114.00","116.30","","149.50"
"20.2","2025-01-28"," 9:35:00 AM","2025-01-28"," 9:36:00 AM","PE","22800","Buy","65","112.75","118.40","","367.25"
"21","2025-01-29"," 9:35:00 AM","2025-01-29"," 9:36:00 AM","","","","","","","18.58","237.25"
"21.1","2025-01-29"," 9:35:00 AM","2025-01-29"," 9:36:00 AM","CE","23150","Buy","65","99.15","101.15","","130.00"
"21.2","2025-01-29"," 9:35:00 AM","2025-01-29"," 9:36:00 AM","PE","22950","Buy","65","114.85","116.50","","107.25"
"22","2025-01-30"," 9:35:00 AM","2025-01-30"," 9:36:00 AM","","","","","","","18.92","-139.75"
"22.1","2025-01-30"," 9:35:00 AM","2025-01-30"," 9:36:00 AM","CE","23300","Buy","65","66.85","68.20","","87.75"
"22.2","2025-01-30"," 9:35:00 AM","2025-01-30"," 9:36:00 AM","PE","23100","Buy","65","86.85","83.35","","-227.50"
"23","2025-01-31"," 9:35:00 AM","2025-01-31"," 9:36:00 AM","","","","","","","17.84","-146.25"
"23.1","2025-01-31"," 9:35:00 AM","2025-01-31"," 9:36:00 AM","CE","23400","Buy","65","309.90","300.90","","-585.00"
"23.2","2025-01-31"," 9:35:00 AM","2025-01-31"," 9:36:00 AM","PE","23200","Buy","65","242.85","249.60","","438.75"
